id,month,abg_sku,rip_code,upc,brand,valid_from,valid_to,description,tier1_unit,tier1_qty,tier1_rebate,tier2_unit,tier2_qty,tier2_rebate,comments
62732,2026-04,1256240,109007,84848808363,443077,2026-04-01,2026-04-30,"MOLETTO GRAPPA   EXCLUDES COMBO, 6PK = FULL CASE",Case(s),1.0,24.0,,0.0,0.0,750ML
62733,2026-04,4488242,109008,717888711125,517751,2026-04-01,2026-04-30,BODEGA NORTON RESERVES   EXCLUDES TRAY PACKS,Case(s),1.0,40.0,,0.0,0.0,750ML
62734,2026-04,4488243,109008,717888711125,517751,2026-04-01,2026-04-30,BODEGA NORTON RESERVES   EXCLUDES TRAY PACKS,Case(s),1.0,40.0,,0.0,0.0,750ML
62735,2026-04,4488640,109008,875238000449,517752,2026-04-01,2026-04-30,BODEGA NORTON RESERVES   EXCLUDES TRAY PACKS,Case(s),1.0,40.0,,0.0,0.0,750ML
62736,2026-04,4488642,109008,875238000449,517752,2026-04-01,2026-04-30,BODEGA NORTON RESERVES   EXCLUDES TRAY PACKS,Case(s),1.0,40.0,,0.0,0.0,750ML
62737,2026-04,4489148,109008,717888791127,517753,2026-04-01,2026-04-30,BODEGA NORTON RESERVES   EXCLUDES TRAY PACKS,Case(s),1.0,40.0,,0.0,0.0,750ML
62738,2026-04,48620,109010,84848401106,482934,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62739,2026-04,48640,109010,84848401304,482934,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62740,2026-04,48641,109010,84848401304,482934,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
62741,2026-04,48660,109010,84848401908,482934,2026-04-01,2026-04-30,"LAIRD'S GIN, VODKA & RUM   ASSORT WITH KASSER & PEACHKA VODKA 80PR 1.75L, 750ML, 375ML & 200ML",Case(s),5.0,10.0,Case(s),10.0,25.0,"1.75L, 750ML, 375ML & 200ML"
